lenght1,angle1,lenght2,angle2,lenght3,angle3,result,radius1,radius2
25.0,0,79.057,45,44.457,135,0,45427902.776,545403035.812
25.0,0,79.057,45,79.057,-135,1,45427902.776,15087521332.532
25.0,0,79.057,45,79.057,-90,1,45427902.776,33610175157.74
25.0,0,79.057,45,79.057,-45,1,45427902.776,20156031235.089
25.0,0,79.057,45,79.057,0,1,45427902.776,632254648.642
25.0,0,79.057,45,79.057,45,1,45427902.776,5845410162.259
25.0,0,79.057,45,79.057,90,1,45427902.776,8063679090.951
25.0,0,79.057,45,79.057,135,0,45427902.776,781301609.545
25.0,0,79.057,45,140.585,-135,1,45427902.776,24423447695.281
25.0,0,79.057,45,140.585,-90,1,45427902.776,53371790281.661
25.0,0,79.057,45,140.585,-45,1,45427902.776,30759264450.082
25.0,0,79.057,45,140.585,0,1,45427902.776,632254648.642
25.0,0,79.057,45,140.585,45,1,45427902.776,10626279701.398
25.0,0,79.057,45,140.585,90,1,45427902.776,13747005529.325
25.0,0,79.057,45,140.585,135,0,45427902.776,1305237820.11
25.0,0,79.057,45,250.0,-135,1,45427902.776,46553164826.436
25.0,0,79.057,45,250.0,-90,1,45427902.776,99751665345.945
25.0,0,79.057,45,250.0,-45,1,45427902.776,55130239976.085
25.0,0,79.057,45,250.0,0,1,45427902.776,632254648.642
25.0,0,79.057,45,250.0,45,1,45427902.776,22631387783.044
25.0,0,79.057,45,250.0,90,1,45427902.776,27576322679.116
25.0,0,79.057,45,250.0,135,1,45427902.776,2567242377.273
25.0,0,140.585,45,25.0,-135,1,115058007.49,76516052809.947
25.0,0,140.585,45,25.0,-90,0,115058007.49,203174178188.707
25.0,0,140.585,45,25.0,-45,0,115058007.49,129391647737.029
25.0,0,140.585,45,25.0,0,1,115058007.49,2775733612.227
25.0,0,140.585,45,25.0,45,1,115058007.49,54087375043.473
25.0,0,140.585,45,25.0,90,1,115058007.49,81188033467.764
25.0,0,140.585,45,25.0,135,0,115058007.49,13186626952.734
25.0,0,140.585,45,44.457,-135,1,115058007.49,86954155744.976
25.0,0,140.585,45,44.457,-90,1,115058007.49,229886117045.551
25.0,0,140.585,45,44.457,-45,1,115058007.49,145077670958.021
25.0,0,140.585,45,44.457,0,1,115058007.49,2775733612.227
25.0,0,140.585,45,44.457,45,1,115058007.49,63003201206.924
25.0,0,140.585,45,44.457,90,1,115058007.49,93306214240.865
25.0,0,140.585,45,44.457,135,0,115058007.49,15087208080.097
25.0,0,140.585,45,79.057,-135,1,115058007.49,107164168975.191
25.0,0,140.585,45,79.057,-90,1,115058007.49,281461445026.995
25.0,0,140.585,45,79.057,-45,1,115058007.49,175188141171.014
25.0,0,140.585,45,79.057,0,1,115058007.49,2775733612.227
25.0,0,140.585,45,79.057,45,1,115058007.49,80537533154.289
25.0,0,140.585,45,79.057,90,1,115058007.49,116937179974.833
25.0,0,140.585,45,79.057,135,0,115058007.49,18782929514.677
25.0,0,140.585,45,140.585,-135,1,115058007.49,148314759509.725
25.0,0,140.585,45,140.585,-90,1,115058007.49,386059094108.817
25.0,0,140.585,45,140.585,-45,1,115058007.49,235741109164.418
25.0,0,140.585,45,140.585,0,1,115058007.49,2775733612.227
25.0,0,140.585,45,140.585,45,1,115058007.49,117029198255.622
25.0,0,140.585,45,140.585,90,1,115058007.49,165541341766.752
25.0,0,140.585,45,140.585,135,1,115058007.49,26354031453.223
25.0,0,140.585,45,250.0,-135,1,115058007.49,237974101154.966
25.0,0,140.585,45,250.0,-90,1,115058007.49,612804825800.977
25.0,0,140.585,45,250.0,-45,1,115058007.49,365585460808.834
25.0,0,140.585,45,250.0,0,1,115058007.49,2775733612.227
25.0,0,140.585,45,250.0,45,1,115058007.49,198717126534.7
25.0,0,140.585,45,250.0,90,1,115058007.49,272788372927.56
25.0,0,140.585,45,250.0,135,1,115058007.49,42977247648.905
25.0,0,250.0,45,25.0,-135,0,317397920.835,852600265667.414
25.0,0,250.0,45,25.0,-90,0,317397920.835,2547832380764.38
25.0,0,250.0,45,25.0,-45,0,317397920.835,1634718932390.872
25.0,0,250.0,45,25.0,0,0,317397920.835,13452436348.951
25.0,0,250.0,45,25.0,45,0,317397920.835,990564172851.392
25.0,0,250.0,45,25.0,90,0,317397920.835,1490784339921.151
25.0,0,250.0,45,25.0,135,0,317397920.835,306801186841.769
25.0,0,250.0,45,44.457,-135,0,317397920.835,918463251285.019
25.0,0,250.0,45,44.457,-90,0,317397920.835,2740491692959.64
25.0,0,250.0,45,44.457,-45,0,317397920.835,1752583262507.55
25.0,0,250.0,45,44.457,0,0,317397920.835,13452436348.951
25.0,0,250.0,45,44.457,45,0,317397920.835,1075359200574.993
25.0,0,250.0,45,44.457,90,0,317397920.835,1611821809620.993
25.0,0,250.0,45,44.457,135,0,317397920.835,331231006502.961
25.0,0,250.0,45,79.057,-135,0,317397920.835,1041638746883.024
25.0,0,250.0,45,79.057,-90,0,317397920.835,3100438079993.58
25.0,0,250.0,45,79.057,-45,0,317397920.835,1972313260720.977
25.0,0,250.0,45,79.057,0,0,317397920.835,13452436348.952
25.0,0,250.0,45,79.057,45,0,317397920.835,1234749665984.948
25.0,0,250.0,45,79.057,90,0,317397920.835,1838729117037.959
25.0,0,250.0,45,79.057,135,0,317397920.835,376985624794.893
25.0,0,250.0,45,140.585,-135,0,317397920.835,1279817439200.958
25.0,0,250.0,45,140.585,-90,0,317397920.835,3795364731547.476
25.0,0,250.0,45,140.585,-45,0,317397920.835,2395098322398.859
25.0,0,250.0,45,140.585,0,0,317397920.835,13452436348.951
25.0,0,250.0,45,140.585,45,0,317397920.835,1545387144696.548
25.0,0,250.0,45,140.585,90,0,317397920.835,2279130043635.866
25.0,0,250.0,45,140.585,135,0,317397920.835,465659178402.544
25.0,0,250.0,45,250.0,-135,0,317397920.835,1763896140819.451
25.0,0,250.0,45,250.0,-90,0,317397920.835,5204591372426.848
25.0,0,250.0,45,250.0,-45,0,317397920.835,3248277172977.402
25.0,0,250.0,45,250.0,0,0,317397920.835,13452436348.951
25.0,0,250.0,45,250.0,45,0,317397920.835,2183803950327.244
25.0,0,250.0,45,250.0,90,0,317397920.835,3178980898212.446
25.0,0,250.0,45,250.0,135,0,317397920.835,646462527291.391
25.0,0,25.0,90,25.0,-135,0,16229613.661,490299310.985
25.0,0,25.0,90,25.0,-90,0,16229613.661,498040723.955
25.0,0,25.0,90,25.0,-45,0,16229613.661,209712449.697
25.0,0,25.0,90,25.0,0,0,16229613.661,21479398.896
25.0,0,25.0,90,25.0,45,0,16229613.661,229481.653
25.0,0,25.0,90,25.0,90,0,16229613.661,1.443491261478176e+17
25.0,0,25.0,90,25.0,135,0,16229613.661,19506851.63
25.0,0,25.0,90,44.457,-135,0,16229613.661,741672787.693
25.0,0,25.0,90,44.457,-90,0,16229613.661,712916170.693
25.0,0,25.0,90,44.457,-45,0,16229613.661,275234709.114
25.0,0,25.0,90,44.457,0,0,16229613.661,21479398.896
25.0,0,25.0,90,44.457,45,0,16229613.661,1108313.431
25.0,0,25.0,90,44.457,90,0,16229613.661,8.117345195796934e+16
25.0,0,25.0,90,44.457,135,0,16229613.661,32866047.183
25.0,0,25.0,90,79.057,-135,0,16229613.661,1316734491.153
25.0,0,25.0,90,79.057,-90,0,16229613.661,1189965306.943
25.0,0,25.0,90,79.057,-45,0,16229613.661,413721422.224
25.0,0,25.0,90,79.057,0,0,16229613.661,21479398.896
25.0,0,25.0,90,79.057,45,0,16229613.661,4297459.681
25.0,0,25.0,90,79.057,90,0,16229613.661,4.564716791296746e+16
25.0,0,25.0,90,79.057,135,0,16229613.661,65181852.573
25.0,0,25.0,90,140.585,-135,0,16229613.661,2744269255.635
25.0,0,25.0,90,140.585,-90,0,16229613.661,2338509609.259
25.0,0,25.0,90,140.585,-45,0,16229613.661,729461278.578
25.0,0,25.0,90,140.585,0,0,16229613.661,21479398.896
25.0,0,25.0,90,140.585,45,0,16229613.661,15111476.396
25.0,0,25.0,90,140.585,90,0,16229613.661,2.5669368379951776e+16
25.0,0,25.0,90,140.585,135,0,16229613.661,149714848.88
25.0,0,25.0,90,250.0,-135,0,16229613.661,6563341130.33
25.0,0,25.0,90,250.0,-90,0,16229613.661,5330365340.447
25.0,0,25.0,90,250.0,-45,0,16229613.661,1510637988.673
25.0,0,25.0,90,250.0,0,0,16229613.661,21479398.896
25.0,0,25.0,90,250.0,45,0,16229613.661,50605377.726
25.0,0,25.0,90,250.0,90,0,16229613.661,1.4434912614782482e+16
25.0,0,25.0,90,250.0,135,0,16229613.661,385633681.95
25.0,0,44.457,90,25.0,-135,0,31336621.82,1919923418.254
25.0,0,44.457,90,25.0,-90,1,31336621.82,2574009383.77
25.0,0,44.457,90,25.0,-45,1,31336621.82,1297118621.764
25.0,0,44.457,90,25.0,0,1,31336621.82,121867787.354
25.0,0,44.457,90,25.0,45,1,31336621.82,30606907.682
25.0,0,44.457,90,25.0,90,1,31336621.82,24059516.802
25.0,0,44.457,90,25.0,135,0,31336621.82,4611819.516
25.0,0,44.457,90,44.457,-135,1,31336621.82,2573393716.661
25.0,0,44.457,90,44.457,-90,1,31336621.82,3351216392.123
25.0,0,44.457,90,44.457,-45,1,31336621.82,1605506004.075
25.0,0,44.457,90,44.457,0,1,31336621.82,121867787.354
25.0,0,44.457,90,44.457,45,1,31336621.82,56713790.047
25.0,0,44.457,90,44.457,90,1,31336621.82,35897028.286
