lenght1,angle1,lenght2,angle2,result,radius1
1.0,0,135.364,100,0,0.526
1.0,0,135.364,110,0,18.08
1.0,0,135.364,120,0,102.381
1.0,0,135.364,130,0,357.942
1.0,0,135.364,140,0,1262.866
1.0,0,135.364,150,0,5268.182
1.0,0,135.364,160,0,756.903
1.0,0,135.364,170,0,185.362
1.0,0,250.0,0,0,0.0
1.0,0,250.0,10,0,37.8
1.0,0,250.0,20,0,131.592
1.0,0,250.0,30,0,236.385
1.0,0,250.0,40,0,301.621
1.0,0,250.0,50,0,296.446
1.0,0,250.0,60,0,224.751
1.0,0,250.0,70,0,122.644
1.0,0,250.0,80,0,38.396
1.0,0,250.0,90,0,2.463
1.0,0,250.0,100,0,1.213
1.0,0,250.0,110,0,54.516
1.0,0,250.0,120,0,322.563
1.0,0,250.0,130,0,1147.482
1.0,0,250.0,140,0,4103.887
1.0,0,250.0,150,0,15867.265
1.0,0,250.0,160,0,2356.044
1.0,0,250.0,170,0,552.24
1.847,0,1.0,0,1,0.0
1.847,0,1.0,10,0,8.399
1.847,0,1.0,20,0,6.018
1.847,0,1.0,30,0,5.784
1.847,0,1.0,40,0,5.666
1.847,0,1.0,50,0,5.169
1.847,0,1.0,60,0,4.23
1.847,0,1.0,70,0,3.029
1.847,0,1.0,80,0,1.848
1.847,0,1.0,90,0,0.933
1.847,0,1.0,100,0,0.401
1.847,0,1.0,110,0,0.219
1.847,0,1.0,120,0,0.343
1.847,0,1.0,130,0,0.98
1.847,0,1.0,140,0,2.7
1.847,0,1.0,150,0,6.726
1.847,0,1.0,160,0,17.587
1.847,0,1.0,170,0,90.923
1.847,0,1.847,0,1,0.0
1.847,0,1.847,10,1,8.047
1.847,0,1.847,20,0,7.271
1.847,0,1.847,30,0,8.292
1.847,0,1.847,40,0,9.041
1.847,0,1.847,50,0,8.833
1.847,0,1.847,60,0,7.582
1.847,0,1.847,70,0,5.631
1.847,0,1.847,80,0,3.527
1.847,0,1.847,90,0,1.779
1.847,0,1.847,100,0,0.678
1.847,0,1.847,110,0,0.216
1.847,0,1.847,120,0,0.194
1.847,0,1.847,130,0,0.689
1.847,0,1.847,140,0,2.387
1.847,0,1.847,150,0,6.815
1.847,0,1.847,160,0,19.941
1.847,0,1.847,170,0,194.261
1.847,0,3.411,0,1,0.0
1.847,0,3.411,10,1,8.453
1.847,0,3.411,20,0,11.117
1.847,0,3.411,30,0,15.503
1.847,0,3.411,40,0,18.795
1.847,0,3.411,50,0,19.58
1.847,0,3.411,60,0,17.617
1.847,0,3.411,70,0,13.652
1.847,0,3.411,80,0,8.949
1.847,0,3.411,90,0,4.75
1.847,0,3.411,100,0,1.862
1.847,0,3.411,110,0,0.455
1.847,0,3.411,120,0,0.106
1.847,0,3.411,130,0,0.378
1.847,0,3.411,140,0,2.008
1.847,0,3.411,150,0,7.132
1.847,0,3.411,160,0,24.693
1.847,0,3.411,170,0,416.45
1.847,0,6.3,0,1,0.0
1.847,0,6.3,10,0,11.392
1.847,0,6.3,20,0,23.154
1.847,0,6.3,30,0,37.873
1.847,0,6.3,40,0,49.358
1.847,0,6.3,50,0,53.679
1.847,0,6.3,60,0,49.977
1.847,0,6.3,70,0,40.127
1.847,0,6.3,80,0,27.508
1.847,0,6.3,90,0,15.571
1.847,0,6.3,100,0,6.736
1.847,0,6.3,110,0,1.85
1.847,0,6.3,120,0,0.204
1.847,0,6.3,130,0,0.137
1.847,0,6.3,140,0,1.628
